id,titulo,autor,anio,genero,numero_aleatorio
1,El señor de los anillos,J.R.R. Tolkien,1954,Fantasía,28
2,1984,George Orwell,1949,Ciencia Ficción,43
3,Cien años de soledad,Gabriel García Márquez,1967,Realismo Mágico,6
4,Don Quijote de la Mancha,Miguel de Cervantes,1605,Clásico,46
5,Matar a un ruiseñor,Harper Lee,1960,Drama,30
6,Orgullo y prejuicio,Jane Austen,1813,Romántico,4
7,Guerra y paz,León Tolstói,1869,Épico,22
8,Ulises,James Joyce,1922,Aventura,10
9,En busca del tiempo perdido,Marcel Proust,1913,Ficción Histórica,33
10,El proceso,Franz Kafka,1925,Filosofía,48
11,La metamorfosis,Franz Kafka,1915,Existencialismo,38
12,El gran Gatsby,F. Scott Fitzgerald,1925,Drama,5
13,La Odisea,Homero,-800,Épico,16
14,Crimen y castigo,Fiódor Dostoyevski,1866,Filosofía,46
15,Los hermanos Karamázov,Fiódor Dostoyevski,1880,Existencialismo,43
16,El principito,Antoine de Saint-Exupéry,1943,Aventura,7
17,La divina comedia,Dante Alighieri,1320,Poesía,19
18,Madame Bovary,Gustave Flaubert,1857,Realismo,11
19,Los miserables,Victor Hugo,1862,Ficción Histórica,23
20,Fausto,Johann Wolfgang von Goethe,1808,Drama,12
21,El nombre de la rosa,Umberto Eco,1980,Misterio,45
22,El guardián entre el centeno,J.D. Salinger,1951,Drama,33
23,Frankenstein,Mary Shelley,1818,Horror,34
24,El retrato de Dorian Gray,Oscar Wilde,1890,Ficción Gótica,4
25,Drácula,Bram Stoker,1897,Horror,30
26,Moby Dick,Herman Melville,1851,Aventura,8
27,El conde de Montecristo,Alexandre Dumas,1844,Aventura,16
28,La isla del tesoro,Robert Louis Stevenson,1883,Aventura,25
29,Jane Eyre,Charlotte Brontë,1847,Drama,45
30,Anna Karenina,León Tolstói,1877,Drama,9
31,El sonido y la furia,William Faulkner,1929,Drama,20
32,Las mil y una noches,Anónimo,1706,Cuentos,12
